First Name,Last Name,Institution/Affilation,Country
Mehrnoosh,Tahani,Stanford University / Banting,USA & Canada
Alec,Thomson,CSIRO,Australia
Alex,Hill,University of British Columbia Okanagan,Canada
Amit,Seta,Australian National University,Australia
Andrea,Bracco,INAF - Osservatorio di Arcetri,Italy
Anna,Ordog,"University of British Columbia Okanagan, National Research Council of Canada",Canada
Anthony,Whitworth,"Physics & Astronomy, Cardiff",UK
Bao,Truong,Korea Astronomy and Space Science Institute,Korea
Booth,Becky,University of Calgary,Canada
Cameron,Van Eck,Australian National University,Australia
David,Eden,Armagh Observatory and Planetarium,UK
Ekta ,Sharma,National Astronomical Observatories of China,China
Enrique,Lopez-Rodriguez,KIPAC/Stanford,USA
Eswaraiah,Chakali,Indian Institute of Science Education and Research (IISER) Tirupati,India
Ettore ,Carretti,INAF - Istituto di Radioastronomia ,Italy
Eun Jung,Chung,Chungnam National University,Korea
Fissel,Laura,Queen's University ,Canada
Florian,Kirchschlager,Ghent University,Belgium
Frédérick,Poidevin,IAC,Spain
Gary,Fuller ,The University of Manchester ,UK
Haleh ,Hajizadeh,University of Calgary,Canada
Hongli ,Liu,Yunnan University,China
Jackie,Ma,Australian National University,Australia
James,Di Francesco,National Research Council of Canada,Canada
Janik,Karoly,University of Central Lancashire,UK
Jason,Fiege,University of Manitoba,Canada
Jihye,Hwang,Korea Astronomy and Space Science Insitute,Korea
John,Dickey,UTas,Australia
Jongsoo,Kim,Korea Astronomy and Space Science Insitute,Korea
Kate,Pattle,University College London (UCL),UK
Koji,Kawabata,Hiroshima University,Japan
Lapo,Fanciullo,National Chung Hsing University,Taiwan
Masafumi,Matsumura,Kagawa University,Japan
Minjie,Lei,"Stanford University, KIPAC",USA
Mohammad Reza,Nasirzadeh,IPM,Iran
Ngoc,Nguyen,Vietnam National Space Center,Vietnam
Preshanth ,Jagannathan ,NRAO,USA
Qilao,Gu,Shanghai Astronomical Observartory,China
Ray,Furuya,Tokushima University,Japan
Rene,Plume,University of Calgary,Canada
Shinyoung,Kim,Korea Astronomy and Space Science Institute,Korea
Shu-ichiro,Inutsuka,Nagoya University,Japan
Susan,Clark,"Stanford University, KIPAC",USA
Tao-Chung,Ching,NRAO,USA
Thiem,Hoang,Korea Astronomy and Space Science Insitute,Korea
Thuong,Hoang,Kavli IPMU,Japan
Tim,Robishaw,National Research Council of Canada,Canada
Tram,Le,Max-Planck Institute for Radio Astronomy,Germany
Tyler,Bourke,SKAO,UK
Valentin,Le Gouellec,NASA Ames,USA
Woojin,Kwon,Seoul National University,Korea
Xindi,Tang,Xinjiang Astronomical Observatory,China
Yasuo,Doi,University of Tokyo,Japan
